temp,humidity,precip,windspeed,sealevelpressure,solarradiation
24.4,52.2,0,28.6,1014.3,259.3
19.2,60.2,0,26.6,1021.6,251.1
19.7,57.6,0,28.8,1022.1,324.2
23.7,52.5,0,23.4,1017.6,311.6
25.9,42.9,0,28.3,1014.6,320
26.1,46.1,0,21.4,1015,315
26.4,43.9,0,14.7,1016.4,277.5
21.4,66.8,0,24.6,1018.1,160.2
19.2,74.3,0,24.2,1016,96
20.6,66.5,0,18.6,1016.5,155.8
20.9,65.6,0,21.4,1017.8,183.6
21.2,64.9,0,21.5,1017.1,186.3
21.9,65.9,0,20.4,1016.2,315.6
21,64.9,0,22.4,1016,298.1
21.5,75.5,0,18,1015.4,209.8
22.3,66.5,0.282,22,1015.8,279.3
22.1,61.8,0,27.2,1015.2,305.5
22.4,61,0,25.1,1013.6,295.6
21.3,61.3,0,27.7,1014.6,328.6
20.9,66.8,0.004,22.7,1017.4,272.2
19.7,58.1,0,27.4,1019.6,293.2
20.8,66,0,24.7,1019.1,253.6
21.4,74.2,0.001,24.2,1015.9,182
21.8,60.4,0,25,1017.4,283.3
22.7,69.9,0,25.7,1019,210
22.6,66.6,0,18.4,1018.2,268
21.9,60.2,0,18.1,1014.9,301
21.2,63.8,0,20.6,1014.5,220.6
20.6,58.3,0,24.4,1016.1,292
21,61.6,0,23.7,1015.9,278.3
22.5,58.2,0,24.9,1016,270.6
22.6,65,0,28,1015.8,142.7
23.6,56.8,0,24.4,1018.2,267.5
25.4,55.5,0,17.6,1018.6,
26,48.4,0,19.1,1017.7,
25.1,45.5,0,24.8,1017.6,
23.3,55.2,0,33.7,1019.1,
23.9,50,0,29.7,1018.8,
22.5,52.6,0,23.8,1016.9,
20.9,60.4,0,24.4,1014.7,28.4
21.1,63.7,0,17.8,1016.1,284.3
22.5,65.2,0,24.9,1019,272.7
23.4,58.5,0,25,1018.1,252.4
23.5,62.8,0,14.7,1014.3,157.6
20.8,80.5,0,21.4,1012,173.6
20.6,78.2,0,21.6,1012.5,195.2
20.9,72.2,0,21.4,1014,258.3
20.7,68.4,0,25.3,1015.8,258
21.5,71.9,1.879,21.3,1017.3,153.1
21.5,73.1,0,27.5,1016.3,246.6
21.7,78.3,0,21.1,1014.6,235.2
22.7,73.2,0,21.4,1014.4,250.3
22.1,74,0,21.3,1014.9,235.8
22.1,69.6,0,21.7,1017.1,249.3
22.2,69.6,0,18.6,1017.6,256.5
22.6,65,0,17.4,1014.7,254.7
22.9,65.4,0,20.3,1013,244.5
22.8,72.6,0,21.5,1013,200.7
22.4,85.2,3.437,23.1,1014.8,234.9
22,82.9,0.681,28.2,1017,200
22.4,73.5,0.005,14.6,1018.5,194.4
22.7,71.2,0.001,20.8,1019.2,240.5
23.1,70.8,0,17.6,1016.8,188.1
21.8,77.6,0,28.4,1012.3,163.9
22.4,83,2.845,24.8,1009.8,109.1
21.3,81.4,3.218,18.1,1008.9,132.9
20.3,84.4,9.056,17.1,1014.8,222.2
22.1,72.8,0,25.7,1018.3,233.5
21.2,71,0,18.5,1018,207.5
19.8,62.3,0,28.4,1018.5,238.8
20.2,59.7,0,28.2,1019.7,233.1
21,61.4,0,28.3,1019.7,230.8
22.5,38.4,0,28.8,1017.9,234.9
22.5,41.5,0.846,21.8,1015.3,223.8
20.5,59.8,0.122,26.5,1012.6,187.7
19.7,77,0.053,21.4,1012.8,212.8
19.8,79.9,8.352,24.7,1017,202.7
19.6,78,0,22.5,1021.5,197.2
20.1,77.3,0,17.2,1022.7,210
19,61.6,0,26.4,1023.6,179.5
20,56.8,0,28.4,1025.2,216.4
21.4,58.3,0,21.5,1023.2,201.8
20.1,58.9,0,18.2,1021.7,173.6
20,81.4,0,21.2,1017.5,137
18.7,71.6,6.168,26.5,1016.2,192.9
17.6,66.8,0,18.5,1022.9,200.9
19.1,77.9,0,14.3,1023.3,101.8
21.3,66.3,0,14.8,1021.7,200.1
23.2,54,0,17.4,1019.2,199.1
22.4,54.1,0,24.3,1018.2,184
20.5,64.5,0,21.3,1018.2,162.9
20.3,66.2,0,21,1016.7,189
23.4,48.8,0,21.6,1015.7,186.2
22.7,49.2,0,17.7,1015.9,188
22.9,47.1,0,14,1016.9,189.7
20.9,46.3,0,17.7,1019.2,172.7
20.6,46.4,0,17.8,1019.6,176.4
19.5,59.8,0,12.3,1018.5,85.1
19.6,89.2,0,17.8,1019,58.3
21.1,79.8,0,10.2,1020.8,150.6
21.8,70.4,0,21.1,1021.2,166.6
20.1,81,0,18,1022.2,104.5
18.3,72.8,0,21.7,1022.1,126.3
17.7,58.9,0,25.1,1020.2,170.3
18.2,51,0,14.8,1020.7,158.3
18,56.3,0,14.4,1022.2,166.3
17.8,67.7,0,21.6,1021.5,167
18.5,57.9,0,17.6,1020.6,161.3
18.9,51.5,0,14.5,1019.9,160.2
17.3,71.9,0,21.8,1016.2,129.9
18.6,91.5,9.079,39.5,1010.5,43.9
19.6,98,2.751,42.3,1008.7,54.1
19.8,98.3,1.158,31.9,1014.8,32
17.6,87.3,0.819,31.5,1017.5,96
15.7,86.7,0.082,14.9,1016,51.1
13.7,74.5,4.352,18.1,1015.2,119.6
13.3,66.8,0.003,24.5,1018.5,133.4
13.6,55.3,0,24.4,1024.4,156.4
12.8,52.1,0,22.2,1027,153.4
13.1,51.8,0,17.9,1024.9,153.1
14.9,57.9,0,14.1,1021.4,130.8
16.2,66.1,0,14.4,1017.5,128.3
15.5,62.3,0,14.6,1018,137.3
14.6,80.8,0,17.3,1019.3,101.1
14.8,75.1,0,14.4,1018.4,94.5
15.1,67.1,0,14.2,1018.6,127.8
15.4,60.4,0,17.3,1018.8,136.2
14.3,67.9,0,17.3,1019.2,86.3
14.4,56.9,0,21.4,1018.5,
13.9,56.1,0,22.1,1019.9,
13.9,54.7,0,24.5,1020.7,
14.8,61.5,0,22,1018.7,
14.8,75.6,2.673,14,1017.3,
14.1,90.8,10.441,10.8,1016.4,
12.7,75.4,0.188,25.4,1013.7,
12,66.4,0,18.4,1014.2,
12.2,72.9,0,24.6,1016.8,
11.2,72.8,1.747,20.8,1012.6,
11.2,63,0,30.5,1015.1,
11.5,72.9,0.104,31.4,1016.9,
11.5,68.4,0.188,19.6,1024.1,
13.5,74.3,0.099,17.7,1026.1,
13.2,74.3,0,7.7,1026.8,
11.9,85,0.094,20.9,1025.4,
12.2,70.4,1.335,31.9,1021.6,
12,66.6,0,17.9,1026.8,
13.3,88.7,0.287,14.5,1027.8,
12.6,72.6,0.094,18.4,1029.4,
13.4,78.2,0,11.6,1029.2,
14.3,94,4.791,25.1,1022.9,
12.8,79.6,1.073,26.3,1023.2,
13.3,80.9,0.098,21.3,1028.6,
14.5,87.9,0.191,17.6,1027.3,
14.9,79.6,0,17.5,1025.9,
13.9,80.5,0,14.3,1023.7,
13.6,78.7,0,14.2,1021.6,
13.1,78.6,0,14.8,1022.5,
12.7,66.2,0,17.7,1022.2,
12.2,64.2,0,14.3,1022.5,
12.2,63.6,0,18.2,1023.2,
12.2,70.1,0,15.9,1023.5,
12.9,67.6,0.861,21.3,1019.2,
14.7,95.9,38.276,22.5,1015.7,
15.3,92.5,2.846,21.4,1014.1,
14.5,94.8,1.124,16.2,1015.9,
15.1,95.7,6.337,14.8,1015.8,
13.8,92.6,10.901,21.4,1010.4,
14.6,93,17.789,31.8,1005.6,
15.6,96.9,8.261,24.8,1013.2,
16.3,96.1,0.025,25,1018.2,
16.3,96.8,0.203,17.8,1024.3,
15.9,92.5,0.432,10.8,1025.2,27.2
12.8,92.5,0,14.3,1022.8,108.6
14.4,80.8,0.094,14.2,1024.3,98.2
14.5,76.1,0.094,14.2,1026,87.7
14.3,94.1,0.005,7.4,1029.1,78.7
12.8,96.9,0.198,14.4,1025.8,90
13,84.9,1.401,29.4,1020.3,71.8
12.4,84.6,2.704,21.6,1023.5,57
12,75,0.01,14.5,1023.4,72.8
12.7,70.5,0,24.9,1028.5,103.3
10.6,69.9,0,16.7,1031.3,116
12.1,74.5,0,14.2,1029.5,41.1
12.9,82.5,0,14.7,1025.4,50.8
12.7,80,0,17.4,1024.3,108.9
13.2,68.6,0,17.8,1025.7,119.3
11,65.8,0,17.8,1028,120.2
10.1,66.4,0,17.9,1028.7,113.8
10.6,72.3,0,14.3,1026.6,54.9
11,86,0,17.6,1029.3,107
11.3,71.8,0,13.9,1030.7,119.3
10.4,68.6,0,14.6,1029.5,124.8
10.1,64.2,0,13.5,1030,127.7
10.2,63.8,0,15.4,1027,130.4
10.8,59.2,0,18,1024.3,126.7
10,60.5,0,18.2,1024.7,126.1
10.4,62.7,0,20.8,1023.1,116.6
10.9,65.3,0,18.3,1024.9,119.8
11.4,58.6,0,21.4,1027.5,124.9
11.3,61.5,0,24.9,1025.5,121
13.5,58,0,21.6,1025.2,124.5
13,48.9,0,21.3,1027,129.1
13,42.7,0,20.9,1028.7,119
13.2,35.8,0,16.3,1027.6,103.2
12.7,57.1,0,14.4,1029,120.1
13.2,51,0,20.9,1028.4,142.8
12.6,57.6,0,12.1,1026.5,138.1
12,83.8,0,13.6,1024.4,
12.8,84.4,0,14.9,1025.1,55.3
13,72.9,0,21,1025.8,141.1
13.3,52.4,0,18,1027.5,
14.2,42.9,0,18.1,1027.7,
14.5,46,0,18.4,1026,172.2
13.6,67.8,0,12.7,1027.8,143.8
13.2,73,0,10.7,1027.5,85.5
15.4,69.2,0,17.5,1025.7,142.6
13.5,84.2,0,17,1024.3,131.2
12.2,84,6.927,25,1021.5,55.3
12.1,72.5,0.099,17.9,1024.7,152.2
11.8,69.3,0,11.4,1030.8,145.3
13.1,76.8,0,14.1,1032.4,121
14.4,79.4,0,17.8,1028,115.5
13.4,79.6,0.188,25.3,1022,133.3
11.8,56.3,0,36,1024.3,176
13.6,47,0,21.7,1028.7,181.5
14.7,61.7,0,21.3,1028.4,173.7
16.5,44.9,0,21.5,1026.2,193
15.9,34.5,0,15.6,1020.7,119
13.6,61.5,0,14.3,1019.4,54.6
15.6,59.9,0,21.7,1019.2,154.9
14.1,67.5,0,21.2,1018.5,144.2
14.2,70.4,0,18.7,1022.2,195
14.4,65.6,0,14.2,1025.6,177.8
14.4,77.7,0.381,21.6,1026.1,145.6
13.7,72.7,0.001,14.4,1026,188
13.5,75,1.591,28.5,1022.3,166.8
11.5,55.3,0,34.6,1024.1,192.9
11.1,71.9,1.602,18,1017.7,69.5
12.2,52,0,24.4,1014.6,214.9
11.9,54,0.871,21.1,1014.2,138.5
12.7,79.7,3.916,23,1018.5,174.2
13.5,83.6,2.161,25.4,1019.7,121.5
14,90,4.777,28.7,1018.3,111.4
13.4,82.2,3.884,25.1,1016.2,118.2
12.7,90.8,13.513,25.3,1016.2,57.2
12.5,75.5,0.094,18.5,1015.1,191.8
11.8,76.1,0.236,20.6,1007,162.2
14.7,71.2,0.003,21.5,1009.7,110.8
15.1,72.1,0,28.8,1015.1,38.5
15.1,63.5,0,25.5,1020.5,112.5
14.9,52,0,20.3,1021.9,225.9
15.4,61.5,0,14.6,1019.2,166.5
12.9,82.2,17.178,21.4,1013.6,86.3
12.6,91.4,8.844,18,1014.5,105.2
13.3,90.9,3.813,21.6,1016.7,73
12.3,96.3,19.454,25,1013.2,80
13.1,78.9,2.517,32.1,1013.1,95.3
14.8,77.3,0.002,25.6,1013.2,77.7
15.4,69.3,0,17.8,1015,170.3
16.3,67.4,0,18.3,1017.1,193.7
16.8,65.8,1.979,25.4,1014.2,153.3
15.3,81.2,5.485,25.1,1010.6,105.5
14.5,68,0,28.9,1010.5,205.8
13.8,79.4,1.368,22,1013,192
13.3,63.7,0.012,21.6,1017.3,265.8
12.9,46.2,0,18.6,1017.9,242.2
12.5,40.1,0,25.1,1014.1,267.6
12.2,38.9,0,29.1,1010.4,249.8
10.7,65.8,0.297,29.5,1012.3,192.5
13.9,61.7,0,18.6,1018.8,203.3
14.2,66.1,0,20.9,1024.6,135.3
15.3,72.1,0,28,1022.9,191.2
15.5,89.9,0.396,22,1019.3,
15.1,82.9,0,28.9,1010.2,244.5
15.1,82.4,0.037,26.3,1004.8,243.3
14.4,77.2,7.768,19.7,1009.5,259.4
15.2,73.4,0.001,22,1016.8,232
16.5,69.4,0,21.8,1019.2,195.6
17.9,65.3,0,18,1021.3,280.6
19.3,58.6,0,17.6,1021.7,266.2
16.9,60,0,21.5,1019.4,157.5
15.6,68.2,0,35.7,1017.3,159.4
14.1,56.1,0,39.6,1017.8,263.3
