temp,humidity,precip,windspeed,sealevelpressure,solarradiation
10.4,66.4,0,5.4,1018.2,126
11.1,55.8,0,9.6,1018.4,119.5
8.1,67.8,0,4.2,1019.5,120
9.1,61.9,0,9.1,1021.1,126
8.4,63.2,0,7.3,1025.5,70.1
10.5,69.6,0,9.6,1025.8,75.8
10.9,74.8,0.001,7.4,1022.1,22.5
10.8,84.1,0,5,1015.1,75.2
7.1,95,14.218,6.2,1008.9,48.2
5,84.2,0.273,5.8,1011.2,42.5
4.7,85.8,0.016,8.9,1013.1,79.5
6.2,75.5,0.003,7.6,1009.2,70.5
5.6,71.5,0.002,7.2,1011.2,113.1
5.5,63.7,0.207,18.2,1008.5,83.3
5,59.1,0,21.5,1015.5,92.1
9.8,64.1,0.001,20.3,1018,102.1
6.8,75.5,0,4.8,1026.2,110.3
5.3,87.8,2.372,9,1021.1,48.3
6.9,60.9,0,14,1014.8,111
6.5,66.3,0,9.4,1022.8,111.8
7.1,81.6,0.003,12.9,1022.5,76.2
8.3,59.6,0,21.5,1020.6,91.9
9,64.7,0,16,1023.8,108.9
7.5,92.7,0.001,13.8,1019.8,33.7
7.4,66.9,2.514,26.8,1014.4,63.5
8.3,69.3,0.005,24.9,1019.6,57.3
11,67.7,0,25.4,1017.9,65.5
11.1,65.3,0,11.6,1022.4,107.3
8.7,82.4,0,3.1,1026.4,103.2
7.9,79.4,0,4.3,1025.8,104.3
9.1,64.8,0,4.6,1025.8,105.2
9.7,47.8,0,4.2,1025.2,104.2
7.3,60.3,0,5.1,1027.6,102.8
6.3,68.2,0,5.3,1028.1,106.5
6.8,72.5,0,7,1028.3,90.2
8.9,74.5,0,6.4,1025.2,47.7
7,84,0.001,4.3,1022.7,44.7
9.4,84.3,0,3.4,1020.7,49.5
10.5,87,0.047,6,1019.4,45
9.2,92.8,3.821,5.1,1019.1,27.4
10.4,97.2,2.513,6.8,1012,20.8
9.1,98.3,11.873,6.7,1007.4,23.5
9.6,98.3,12.502,11.3,1011.2,16.7
12.2,86.5,0.206,24,1013.8,106.5
10.9,86.7,0,16.1,1021.8,95.6
9,90.1,0,4.4,1026.2,71.2
9.1,85.5,0,4.1,1025.8,104.2
9.6,76.5,0,4.2,1028.2,107.1
9.9,61.7,0,3.1,1029.1,99.6
9.3,68.7,0,2.7,1029.6,91
8.9,82.2,0,3.9,1026.4,96.9
7.4,88.7,6.888,11,1015.9,35.7
6,76.6,5.749,15.5,1017.9,80.4
4,83.2,0.12,4.4,1020.3,111.9
4.7,71.4,0,5.6,1027.6,112.3
3.3,82.1,0,6.2,1029.6,78.9
8.5,74.3,0,18.9,1022.7,107.3
11.4,74,0.001,13.2,1020.8,135.9
9.8,70.3,0,4.9,1024.3,114.7
7.2,58.6,0,5.5,1028.1,118.1
5.3,58.7,0,5.6,1032.8,107.7
4.2,63.9,0,6.2,1032.9,118.8
3.7,64.9,0,3.5,1029.5,116.8
3.8,71.7,0,3.1,1031.3,116.6
4.7,65.5,0,3.4,1032.8,120
5.4,54.8,0,3.7,1031.2,123.1
5.8,45.2,0.003,3.7,1030.6,125.5
6.7,53.8,0,5.8,1027.8,124.9
4.9,60.7,0,5.5,1026.1,124.6
4.7,58.2,0,5.3,1028.9,117.8
5.6,70.9,0,6,1027,66.1
6.3,66,0,5.9,1027.7,54.3
7.8,61.5,0,6.7,1030.4,60.9
6,66.3,0,6.5,1029.9,123.8
7.5,51.5,0,5.6,1028.9,132.3
7.7,34,0,5.6,1031,140.8
8.5,27.7,0,5.4,1033.2,143
8.5,28.8,0,3.8,1029.5,138.8
7.9,36,0,5.9,1027.4,141.7
10.6,50.6,0,14,1027.9,141.3
10.5,59.5,0,5.2,1027.5,149.8
9.8,57.9,0,5.6,1022.9,126.6
9.5,70.4,0,4.3,1021.7,99.3
9.9,60.2,0,9.3,1023.7,130.8
7.9,42.6,0,5.9,1028.3,152
9.2,45.8,0,5,1028.9,153.5
10,49.7,0,7.2,1029.6,154.5
9.5,55.3,0,5.1,1029.7,155.8
9,61.4,0,4.2,1027.9,142
10.6,60.7,0,3.7,1025.1,144.7
10.3,57.4,0,5,1023.1,129.9
9.6,69.5,0,15.3,1019.2,131
8.1,64.3,1.092,19.5,1018.7,143.8
7.2,59.4,0,10.1,1027,163.7
9.4,62.5,0,9.9,1027.6,135.4
10.2,70.3,0,4.2,1026.2,172.3
11.5,66.6,0,6.2,1018.3,169
10,53.8,0,11.7,1020.4,102.3
7.6,52.1,0,4.7,1029,179.4
